Filename,Omega_m,Omega_b,h,n_s,sigma_8,id
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/149/diag/halos_wst.h5,0.317197,0.048916,0.6688,0.9913,0.824854,149
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/145/diag/halos_wst.h5,0.294868,0.050108,0.6961,0.9347,0.801404,145
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/137/diag/halos_wst.h5,0.356246,0.052809,0.6472,0.9252,0.729693,137
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/133/diag/halos_wst.h5,0.313772,0.049302,0.6736,0.9649,0.905163,133
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/146/diag/halos_wst.h5,0.311249,0.046966,0.6682,0.9351,0.762696,146
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/138/diag/halos_wst.h5,0.287705,0.044965,0.6847,0.9723,0.821432,138
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/134/diag/halos_wst.h5,0.388107,0.056023,0.6319,0.9649,0.808458,134
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/140/diag/halos_wst.h5,0.334884,0.049064,0.6536,0.9893,0.772033,140
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/139/diag/halos_wst.h5,0.266859,0.047075,0.7164,0.9732,0.793003,139
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/135/diag/halos_wst.h5,0.313772,0.049302,0.6736,1.0249,0.80816,135
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/141/diag/halos_wst.h5,0.344268,0.054281,0.6623,0.9384,0.799575,141
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/142/diag/halos_wst.h5,0.2743,0.046171,0.7038,0.9927,0.707082,142
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/130/diag/halos_wst.h5,0.313772,0.049302,0.6736,0.9649,0.711201,130
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/147/diag/halos_wst.h5,0.337794,0.050043,0.6498,0.9587,0.777157,147
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/143/diag/halos_wst.h5,0.361002,0.053141,0.6443,0.9952,0.847522,143
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/131/diag/halos_wst.h5,0.255117,0.043575,0.7165,0.9649,0.807866,131
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/148/diag/halos_wst.h5,0.372102,0.059567,0.6199,0.938,0.714913,148
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/144/diag/halos_wst.h5,0.278252,0.045517,0.6968,0.9279,0.89136,144
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/136/diag/halos_wst.h5,0.31949,0.047331,0.6618,0.9303,0.882475,136
/anvil/scratch/x-abairagi/cmass-ili/abacus/nbody/L2000-N256/132/diag/halos_wst.h5,0.313772,0.049302,0.6736,0.9049,0.808189,132
