Filename,Omega_m,Omega_b,h,n_s,sigma_8,id
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/705/diag/halos_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,705
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/338/diag/halos_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,338
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1668/diag/halos_wst.h5,0.4505,0.04933,0.7809,0.8029,0.9875,1668
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1533/diag/halos_wst.h5,0.1559,0.03467,0.6673,1.0879,0.9345,1533
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/630/diag/halos_wst.h5,0.1511,0.03679,0.8829,0.9277,0.7565,630
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1347/diag/halos_wst.h5,0.3059,0.06991,0.6281,1.1607,0.7333,1347
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/263/diag/halos_wst.h5,0.2233,0.03877,0.6683,1.0769,0.6729,263
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1212/diag/halos_wst.h5,0.3547,0.05241,0.6061,1.1159,0.9379,1212
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/334/diag/halos_wst.h5,0.2749,0.05735,0.8613,1.0791,0.8257,334
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1394/diag/halos_wst.h5,0.1721,0.05879,0.6669,1.1271,0.8367,1394
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/747/diag/halos_wst.h5,0.2469,0.06515,0.5135,1.1147,0.9297,747
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1906/diag/halos_wst.h5,0.4415,0.05711,0.6121,1.0653,0.6739,1906
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1307/diag/halos_wst.h5,0.1695,0.04089,0.7851,0.8777,0.9757,1307
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/69/diag/halos_wst.h5,0.2997,0.04465,0.8051,0.9701,0.8709,69
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1953/diag/halos_wst.h5,0.2851,0.03887,0.7441,0.8325,0.7091,1953
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1489/diag/halos_wst.h5,0.2559,0.03277,0.8907,1.1037,0.9221,1489
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/672/diag/halos_wst.h5,0.4701,0.03069,0.8873,1.0147,0.7015,672
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1354/diag/halos_wst.h5,0.1439,0.04685,0.8799,0.9063,0.7783,1354
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/743/diag/halos_wst.h5,0.3787,0.06469,0.5189,0.9083,0.8447,743
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/376/diag/halos_wst.h5,0.1135,0.03359,0.8847,1.1831,0.7685,376
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1168/diag/halos_wst.h5,0.2197,0.03635,0.6709,1.0591,0.9601,1168
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1033/diag/halos_wst.h5,0.2425,0.03543,0.5339,1.1807,0.9995,1033
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/789/diag/halos_wst.h5,0.3913,0.03461,0.7043,0.9099,0.7095,789
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1913/diag/halos_wst.h5,0.4599,0.04055,0.7287,0.8505,0.7011,1913
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1727/diag/halos_wst.h5,0.2281,0.03175,0.6271,0.8227,0.6483,1727
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1080/diag/halos_wst.h5,0.2403,0.06311,0.5609,1.1071,0.7465,1080
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1128/diag/halos_wst.h5,0.3117,0.05763,0.7221,1.0001,0.7997,1128
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1774/diag/halos_wst.h5,0.1967,0.04439,0.5727,0.8339,0.6827,1774
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/785/diag/halos_wst.h5,0.1053,0.06153,0.8891,0.9523,0.6051,785
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1588/diag/halos_wst.h5,0.4251,0.03249,0.5129,1.1329,0.6783,1588
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1453/diag/halos_wst.h5,0.2695,0.06037,0.7941,1.1739,0.7479,1453
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/326/diag/halos_wst.h5,0.1769,0.03253,0.8815,0.9719,0.7619,326
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1548/diag/halos_wst.h5,0.3005,0.05909,0.7849,1.0101,0.7741,1548
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/34/diag/halos_wst.h5,0.2311,0.05531,0.8569,0.8659,0.8641,34
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/251/diag/halos_wst.h5,0.2321,0.03763,0.8689,0.9317,0.7475,251
/anvil/scratch/x-abairagi/cmass-ili/abacuslike/fastpm/L2000-N256/1595/diag/halos_wst.h5,0.2489,0.03061,0.6287,1.1391,0.9161,1595
