Filename,Omega_m,Omega_b,h,n_s,sigma_8,id
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/705/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,705
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/338/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,338
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1668/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1668
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1533/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1533
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/630/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,630
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1347/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1347
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/263/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,263
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1212/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1212
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/334/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,334
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1394/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1394
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/747/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,747
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1906/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1906
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1307/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1307
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/69/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,69
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1953/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1953
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1489/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1489
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/672/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,672
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1354/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1354
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/743/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,743
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/376/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,376
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1168/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1168
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1033/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1033
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/789/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,789
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1913/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1913
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1727/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1727
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1080/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1080
/anvil/scratch/x-abairagi/cmass-ili/quijotelike-fid/fastpm/L1000-N128/1128/diag/halos_wst.h5,0.3175,0.049,0.6711,0.9624,0.834,1128
