Filename,Omega_m,Omega_b,h,n_s,sigma_8,id
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/705/diag/halos_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,705
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3271/diag/halos_wst.h5,0.23415163,0.07187455,0.75676813,0.84923758,0.74318879,3271
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2097/diag/halos_wst.h5,0.37728834,0.06103434,0.56739273,0.81725504,0.73872126,2097
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/338/diag/halos_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,338
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3505/diag/halos_wst.h5,0.37970457,0.07150702,0.824964,0.8198704,0.98147562,3505
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2977/diag/halos_wst.h5,0.35232575,0.06468575,0.66210901,0.85727035,0.7211641,2977
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3319/diag/halos_wst.h5,0.21272328,0.07985721,0.55178142,0.89038191,0.67010446,3319
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2842/diag/halos_wst.h5,0.47089207,0.02568305,0.7784858,1.13553176,0.63106545,2842
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1668/diag/halos_wst.h5,0.4505,0.04933,0.7809,0.8029,0.9875,1668
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3965/diag/halos_wst.h5,0.40149484,0.05836494,0.8697439,1.12756994,0.66364956,3965
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1533/diag/halos_wst.h5,0.1559,0.03467,0.6673,1.0879,0.9345,1533
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3830/diag/halos_wst.h5,0.32607551,0.04944558,0.69883888,0.97330854,0.9471108,3830
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2656/diag/halos_wst.h5,0.29906726,0.03278418,0.77595305,0.81544704,0.71620313,2656
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/630/diag/halos_wst.h5,0.1511,0.03679,0.8829,0.9277,0.7565,630
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2521/diag/halos_wst.h5,0.30874324,0.0675212,0.67809453,0.97638958,0.78418158,2521
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1347/diag/halos_wst.h5,0.3059,0.06991,0.6281,1.1607,0.7333,1347
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3366/diag/halos_wst.h5,0.30731101,0.02961238,0.75749676,1.16333587,0.77417951,3366
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/263/diag/halos_wst.h5,0.2233,0.03877,0.6683,1.0769,0.6729,263
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1212/diag/halos_wst.h5,0.3547,0.05241,0.6061,1.1159,0.9379,1212
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3231/diag/halos_wst.h5,0.29823068,0.06097818,0.81034634,0.83079963,0.68709985,3231
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2057/diag/halos_wst.h5,0.32661755,0.07390514,0.51446995,0.98241117,0.85589855,2057
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/334/diag/halos_wst.h5,0.2749,0.05735,0.8613,1.0791,0.8257,334
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3045/diag/halos_wst.h5,0.46881955,0.06389803,0.59795977,0.83894648,0.83105004,3045
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1394/diag/halos_wst.h5,0.1721,0.05879,0.6669,1.1271,0.8367,1394
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/747/diag/halos_wst.h5,0.2469,0.06515,0.5135,1.1147,0.9297,747
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1906/diag/halos_wst.h5,0.4415,0.05711,0.6121,1.0653,0.6739,1906
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3925/diag/halos_wst.h5,0.4782738,0.0629183,0.74383528,0.92815566,0.83713005,3925
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/2616/diag/halos_wst.h5,0.23185016,0.0361796,0.82866137,0.80913058,0.65979472,2616
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3739/diag/halos_wst.h5,0.18624833,0.05508316,0.7683044,0.80632512,0.66650084,3739
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/3092/diag/halos_wst.h5,0.17345026,0.02994664,0.73504007,1.11244903,0.64793594,3092
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/1307/diag/halos_wst.h5,0.1695,0.04089,0.7851,0.8777,0.9757,1307
/anvil/scratch/x-abairagi/cmass-ili/quijotelike/fastpm/L1000-N128/69/diag/halos_wst.h5,0.2997,0.04465,0.8051,0.9701,0.8709,69
