LHID,Cosmology,Phase,LCDM,Massive Neutrinos,SimName,Description,omega_b,omega_cdm,h,A_s,n_s,alpha_s,N_ur,N_ncdm,omega_ncdm,w0_fld,wa_fld,sigma8_m,sigma8_cb
0,0,0,y,y,AbacusSummit_base_c000_ph000,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
1,0,1,y,y,AbacusSummit_base_c000_ph001,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
2,0,2,y,y,AbacusSummit_base_c000_ph002,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
3,0,3,y,y,AbacusSummit_base_c000_ph003,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
4,0,4,y,y,AbacusSummit_base_c000_ph004,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
5,0,5,y,y,AbacusSummit_base_c000_ph005,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
6,1,0,y,y,AbacusSummit_base_c001_ph000,Low omega_c,0.02242,0.1134,0.703,2.04e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
7,1,1,y,y,AbacusSummit_base_c001_ph001,Low omega_c,0.02242,0.1134,0.703,2.04e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
8,1,2,y,y,AbacusSummit_base_c001_ph002,Low omega_c,0.02242,0.1134,0.703,2.04e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
9,1,3,y,y,AbacusSummit_base_c001_ph003,Low omega_c,0.02242,0.1134,0.703,2.04e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
10,1,4,y,y,AbacusSummit_base_c001_ph004,Low omega_c,0.02242,0.1134,0.703,2.04e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
11,1,5,y,y,AbacusSummit_base_c001_ph005,Low omega_c,0.02242,0.1134,0.703,2.04e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
